,Restaurant#,Restaurant Name,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,price
0,RESTPUNE0001,AB's - Absolute Barbecues," White Square, Hinjawadi, Pune",4.7,8152,3.5,304,1200
1,RESTPUNE0002,Cafe Goodluck," Deccan Gymkhana, Pune",4.4,6261,4.1,33300,800
2,RESTPUNE0003,Darshan," Baner, Pune",4.6,6218,3.9,3332,800
3,RESTPUNE0004,Vaishali," FC Road, Pune",4.5,5720,4.3,2200,500
4,RESTPUNE0005,Flechazo," Wakad, Pune",4.5,5184,0.0,0,1400
5,RESTPUNE0006,Malaka Spice," Koregaon Park, Pune",4.7,4830,4.2,5950,1500
6,RESTPUNE0007,Le Plaisir," Deccan Gymkhana, Pune",4.9,4808,4.3,4959,1000
7,RESTPUNE0008,German Bakery," Koregaon Park, Pune",4.2,4762,3.9,1475,1100
8,RESTPUNE0009,Agent Jack's," Amanora Town Centre, Hadapsar, Pune",4.4,4398,0.0,0,1500
9,RESTPUNE0010,Barbeque Nation," R Deccan Mall, JM Road, Pune",4.5,4313,3.7,1194,1700
10,RESTPUNE0011,Autobahn - The Smart Restaurant," Phoenix Market City, Viman Nagar, Pune",4.7,4012,3.9,38,1300
11,RESTPUNE0012,The Urban Foundry," Balewadi High Street, Baner, Pune",4.6,3950,4.2,642,2200
12,RESTPUNE0013,Tales & Spirits," Senapati Bapat Road, Pune",4.4,3916,4.4,584,1500
13,RESTPUNE0014,11 East Street Cafe," East Street, Pune",4.2,3887,3.8,1291,1600
14,RESTPUNE0015,Mezza 9," Hinjawadi, Pune",4.1,3867,3.8,4932,1700
15,RESTPUNE0016,The Ruby Hilltop - Sunny's World," Sus, Pune",4.4,3860,0.0,0,1300
16,RESTPUNE0017,Exotica," Panchshil Tech Park, Yerawada, Pune",4.4,3859,4.1,79,1400
17,RESTPUNE0018,FML - Food Music Love," Kalyani Nagar, Pune",4.4,3812,3.9,39,1600
18,RESTPUNE0019,Onesta," Mariplex Mall, Kalyani Nagar, Pune",4.6,3795,3.4,3549,700
19,RESTPUNE0020,Effingut," Koregaon Park, Pune",4.7,3790,3.9,785,2000
20,RESTPUNE0021,Barbeque Ville," Wakad, Pune",4.4,3761,0.0,0,1000
21,RESTPUNE0022,Copa Cabana," Pimple Nilakh, Pune",4.3,3689,3.9,3675,1600
22,RESTPUNE0023,Apache High Street," Balewadi High Street, Baner, Pune",4.3,3663,0.0,0,1100
23,RESTPUNE0024,Marz-O-Rin," MG Road, Pune",4.3,3593,4.3,6219,300
24,RESTPUNE0025,Culture - पुणे," Shivaji Nagar, Pune",4.2,3569,4.3,217,1450
25,RESTPUNE0026,Vohuman Cafe," Dhole Patil Road, Pune",4.8,3526,4.5,2075,200
26,RESTPUNE0027,Paasha - JW Marriott Pune," JW Marriott Pune, Senapati Bapat Road, Pune",4.8,3480,4.0,69,2500
27,RESTPUNE0028,Blue Water," Ravet, Pune",4.5,3406,4.2,2264,1800
28,RESTPUNE0029,Sukanta," Deccan Gymkhana, Pune",4.4,3308,4.1,1480,700
29,RESTPUNE0030,Chulbul Dhaba," Kharadi, Pune",4.1,3297,3.8,13900,800
30,RESTPUNE0031,Mughal Mahal," Hinjawadi, Pune",4.6,3270,4.2,3181,1500
31,RESTPUNE0032,Viman Nagar Social," Phoenix Market City, Viman Nagar, Pune",4.5,3106,3.8,576,1500
32,RESTPUNE0033,Tatva The Vegetarian Kitchen," Wakad, Pune",4.4,3106,3.9,13600,800
33,RESTPUNE0034,Atmosphere 6," Viman Nagar, Pune",4.1,3094,3.2,190,1700
34,RESTPUNE0035,Upsouth," Phoenix Market City, Viman Nagar, Pune",4.3,3021,3.9,508,300
35,RESTPUNE0036,The Deccan Bid Capital," Shivaji Nagar, Pune",4.4,3010,3.9,45,1200
36,RESTPUNE0037,BarBerry," Kothrud, Pune",4.4,2862,0.0,3,1200
37,RESTPUNE0038,Shisha Jazz Cafe," ABC Farms,Mundhwa, Pune",4.4,2858,3.1,80,2000
38,RESTPUNE0039,Kargo," Koregaon Park, Pune",4.5,2851,4.1,605,1200
39,RESTPUNE0040,Blue Nile," Camp Area, Pune",4.0,2849,4.1,7457,800
40,RESTPUNE0041,Cafe Co2 Resto Lounge," Bhugaon, Pune",4.3,2848,0.0,0,2700
41,RESTPUNE0042,Eternia Rooftop," Senapati Bapat Road, Pune",4.3,2820,0.0,0,1800
42,RESTPUNE0043,Burger," East Street, Pune",4.4,2775,0.0,0,250
43,RESTPUNE0044,George Restaurant," Camp Area, Pune",4.1,2764,4.1,3002,800
44,RESTPUNE0045,Little Italy," Shivaji Nagar, Pune",4.5,2719,4.2,1604,1500
45,RESTPUNE0046,Arthur's Theme," Koregaon Park, Pune",4.6,2706,4.2,1242,1500
46,RESTPUNE0047,18 Degrees Resto Lounge," Spot 18 Mall, Pimple Saudagar, Pune",4.0,2650,3.3,127,2100
47,RESTPUNE0048,Prem's," Koregaon Park, Pune",4.3,2639,4.1,5668,1300
48,RESTPUNE0049,BMG - Unplugged," Amanora Town Centre, Hadapsar, Pune",4.4,2580,0.0,3,1500
49,RESTPUNE0050,Yana Sizzlers & Wok," FC Road, Pune",4.4,2533,4.0,101,1500
50,RESTPUNE0051,Independence Brewing Company," Mundhwa, Pune",4.6,2519,0.0,1,2200
51,RESTPUNE0052,Local Gastro Bar," Mundhwa, Pune",4.0,2460,0.0,0,2000
52,RESTPUNE0053,Anna Idli," Baner, Pune",4.5,2458,4.1,22700,350
53,RESTPUNE0054,Qabil-E-Tareef," Pimple Saudagar, Pune",4.3,2453,3.8,3654,1200
54,RESTPUNE0055,High Spirits," Mundhwa, Pune",4.4,2446,0.0,14,1800
55,RESTPUNE0056,Kimchi," Kharadi, Pune",4.4,2413,4.0,12900,600
56,RESTPUNE0057,The Burger Barn Cafe," Koregaon Park, Pune",4.0,2362,3.7,2995,500
57,RESTPUNE0058,Hakuna Matata," Shivaji Nagar, Pune",4.2,2357,3.3,190,1600
58,RESTPUNE0059,Uncle's Chinese," Koregaon Park, Pune",4.3,2318,4.1,13800,600
59,RESTPUNE0060,Chaitanya Paranthas," FC Road, Pune",4.2,2287,4.0,21700,400
60,RESTPUNE0061,Polka Dots," Westend Mall, Aundh, Pune",4.4,2283,4.2,2289,1400
61,RESTPUNE0062,The 1st Brewhouse - The Corinthians," The Corinthians, Kondhawa, Pune",4.4,2244,0.0,0,2000
