Restaurant#,Restaurant Name,Category,Pricing_for_2people,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Address,Phone_No,Known_for
RESTPUNE0001,AB's - Absolute Barbecues,"North Indian, BBQ, Fast Food, Desserts",Rs. 1200/-," White Square, Hinjawadi, Pune",4.7,8152,3.5,304,"Second Floor, White Square Building, Wakad Road, Hinjewadi Pune",9.19E+11,"Kashmiri Phirni, Beetroot Soup, Orange Pastry, Chicken Mix Grill, Rabbit, Paan Icecream"
RESTPUNE0002,Cafe Goodluck,"North Indian, Mughlai, Maharashtrian, Biryani, Desserts",Rs. 800/-," Deccan Gymkhana, Pune",4.4,6261,4.1,33300,"759/75, Goodluck Chowk, Deccan Gymkhana, Pune",9.18E+11,"A classic landmark on Pune's map, established in 1935"
RESTPUNE0003,Darshan,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts, Sandwich",Rs. 800/-," Baner, Pune",4.6,6218,3.9,3332,"Opposite Sadanand Hotel, Amar Business Park, Baner, Pune",9.17E+11,"Papdi Chaat Nacho, Soya Keema Pav, Chiku Shake, Cream Mango, Shyam Savera, Sizzling Vegetables"
RESTPUNE0004,Vaishali,"South Indian, Street Food, Fast Food, Beverages, Desserts",Rs. 500/-," FC Road, Pune",4.5,5720,4.3,2200,"1218/1, Rage Path, Ganeshwadi, Shivajinagar, FC Road, Pune",9.12E+11,"South Indian Platter, Maysore Masala Dosa, Kokum Sharbat, Idli Vada Sambar, Coconut Chatni, Onion Uthappa"
RESTPUNE0005,Flechazo,"Asian, Mediterranean, North Indian",Rs. 1400/-," Wakad, Pune",4.5,5184,,0,"165, 3rd Floor, Vantagio, Near Silver Sports Club, Wakad, Pune",9.18E+11,"A Concept Dinning With Pizza ,Food Shots & Kheema Counter"
RESTPUNE0006,Malaka Spice,"Thai, Japanese, Asian",Rs. 1500/-," Koregaon Park, Pune",4.7,4830,4.2,5950,"Lane 5, North Main Road, Opposite Oxford Properties, Koregaon Park, Pune",9.18E+11,Pan-Asian recipes handpicked from the corners of Asia
RESTPUNE0007,Le Plaisir,"Cafe, Italian, Continental, Salad, Sandwich, Pizza, Beverages",Rs. 1000/-," Deccan Gymkhana, Pune",4.9,4808,4.3,4959,"Survey 759/125, Rajkamal, Prabhat Road, Opposite Kelkar Eye Hospital, Deccan Gymkhana, Pune",9.19E+11,"Expresso Panacota, Banana Nutella Crepe, New York Baked Cheesecake, Lamb Bolognese, Hazelnut Cheese Cake, Caffe Frappe"
RESTPUNE0008,German Bakery,"German, Italian, Cafe, Beverages",Rs. 1100/-," Koregaon Park, Pune",4.2,4762,3.9,1475,"291, North Main Road, Koregaon Park, Pune",9.12E+11,"Chocolate Lamington, Chilli Dog, Sachertorte, Double Chocolate Cookies, Barbeque Chicken Burger, Caramel Frappe"
RESTPUNE0009,Agent Jack's,"Finger Food, Continental, North Indian, Italian, Asian, Desserts",Rs. 1500/-," Amanora Town Centre, Hadapsar, Pune",4.4,4398,,0,"West Block, Amanora Town Centre, Hadapsar Kharadi Bypass, Hadapsar, Pune",9.19E+11,"Mutton Balls, Thai Chicken, Chicken Popcorn, White Pasta, Barbeque Chicken, Crispy Corn"
RESTPUNE0010,Barbeque Nation,"North Indian, Mughlai, Salad, Kebab, BBQ",Rs. 1700/-," R Deccan Mall, JM Road, Pune",4.5,4313,3.7,1194,"3rd Floor, R Deccan Mall, JM Road, Pune",9.18E+11,An indoor barbecue concept venue offering a 'Do-It-Yourself' grilling experience at every table
RESTPUNE0011,Autobahn - The Smart Restaurant,"North Indian, Goan, Chettinad, Beverages, Desserts, Italian",Rs. 1300/-," Phoenix Market City, Viman Nagar, Pune",4.7,4012,3.9,38,"3rd Floor, Phoenix Market City, Viman Nagar, Pune",9.19E+11,"Dhania Chicken, Olive Chilli Naan, Macher Paturi, Dhania Murgh, Fish Paturi, Dal Amritsari"
RESTPUNE0012,The Urban Foundry,"Bar Food, North Indian, Chinese, Fast Food, Desserts, Beverages",Rs. 2200/-," Balewadi High Street, Baner, Pune",4.6,3950,4.2,642,"Shop 1, Balewadi High Street, Cummins India Office Campus, Baner-Balewadi Link Road, Balewadi, Pune",9.19E+11,"Bacon Naan, Potato Popcorn, Red Velvet Kulfi Duet, Butter Chicken Kulcha, Thai Chicken Thigh, Chettinad Pizza"
RESTPUNE0013,Tales & Spirits,"Italian, Continental, Salad, Bar Food",Rs. 1500/-," Senapati Bapat Road, Pune",4.4,3916,4.4,584,"Plot 64, Shivaji Housing Society, Senapati Bapat Road, Pune",9.19E+11,NaN
RESTPUNE0014,11 East Street Cafe,"Continental, North Indian, Mughlai, Goan, Chinese, Seafood, Beverages",Rs. 1600/-," East Street, Pune",4.2,3887,3.8,1291,"View In Plaza, Indira Gandhi Chowk, East Street, Pune",9.20E+11,Ambiance that looks like a London street and the famous Red Bus
RESTPUNE0015,Mezza 9,"Continental, Mughlai, Asian, North Indian, Desserts",Rs. 1700/-," Hinjawadi, Pune",4.1,3867,3.8,4932,"Survey 152, IT Park, Phase 1, Opposite KPIT Cummins, Hinjawadi, Pune",9.20E+11,"Paneer do Pyaza, Tomato Basil Soup, Date Night, Sizzlers, Lasagna, Chicken Starters"
